,Unnamed: 0,DEPARTAMENTO,MUNICIPIO,ZONA,LATITUD_x,LONGITUD_x,RANGO_x,LATITUD_y,LONGITUD_y,RANGO_y
56,56,,,,0.0,0.0,4.0,0.0,0.0,1
57,57,,,,0.0,0.0,4.0,0.0,0.0,1
58,58,,,,0.0,0.0,4.0,0.0,0.0,1
59,59,,,,0.0,0.0,4.0,0.0,0.0,1
60,60,,,,0.0,0.0,4.0,0.0,0.0,1
61,61,,,,0.0,0.0,4.0,0.0,0.0,1
62,62,,,,0.0,0.0,4.0,0.0,0.0,1
63,63,,,,0.0,0.0,4.0,0.0,0.0,1
64,64,,,,0.0,0.0,4.0,0.0,0.0,1
65,65,,,,0.0,0.0,4.0,0.0,0.0,1
66,66,,,,0.0,0.0,4.0,0.0,0.0,1
67,67,,,,0.0,0.0,4.0,0.0,0.0,1
68,68,,,,0.0,0.0,4.0,0.0,0.0,1
69,69,,,,0.0,0.0,4.0,0.0,0.0,1
70,70,,,,0.0,0.0,4.0,0.0,0.0,1
71,71,,,,0.0,0.0,4.0,0.0,0.0,1
72,72,,,,0.0,0.0,4.0,0.0,0.0,1
73,73,,,,0.0,0.0,4.0,0.0,0.0,1
74,74,,,,0.0,0.0,4.0,0.0,0.0,1
75,75,,,,0.0,0.0,4.0,0.0,0.0,1
76,76,,,,0.0,0.0,4.0,0.0,0.0,1
77,77,,,,0.0,0.0,4.0,0.0,0.0,1
78,78,,,,0.0,0.0,4.0,0.0,0.0,1
79,79,,,,0.0,0.0,4.0,0.0,0.0,1
80,80,,,,0.0,0.0,4.0,0.0,0.0,1
81,81,,,,0.0,0.0,4.0,0.0,0.0,1
82,82,,,,0.0,0.0,4.0,0.0,0.0,1
83,83,,,,0.0,0.0,4.0,0.0,0.0,1
84,84,,,,0.0,0.0,4.0,0.0,0.0,1
85,85,,,,0.0,0.0,4.0,0.0,0.0,1
86,86,,,,0.0,0.0,4.0,0.0,0.0,1
87,87,,,,0.0,0.0,4.0,0.0,0.0,1
88,88,,,,0.0,0.0,4.0,0.0,0.0,1
89,89,,,,0.0,0.0,4.0,0.0,0.0,1
90,90,,,,0.0,0.0,4.0,0.0,0.0,1
91,91,,,,0.0,0.0,4.0,0.0,0.0,1
92,92,,,,0.0,0.0,4.0,0.0,0.0,1
93,93,,,,0.0,0.0,4.0,0.0,0.0,1
94,94,,,,0.0,0.0,4.0,0.0,0.0,1
95,95,,,,0.0,0.0,4.0,0.0,0.0,1
96,96,,,,0.0,0.0,4.0,0.0,0.0,1
97,97,,,,0.0,0.0,4.0,0.0,0.0,1
98,98,,,,0.0,0.0,4.0,0.0,0.0,1
99,99,,,,0.0,0.0,4.0,0.0,0.0,1
100,100,,,,0.0,0.0,4.0,0.0,0.0,1
101,101,,,,0.0,0.0,4.0,0.0,0.0,1
102,102,,,,0.0,0.0,4.0,0.0,0.0,1
103,103,,,,0.0,0.0,4.0,0.0,0.0,1
104,104,,,,0.0,0.0,4.0,0.0,0.0,1
105,105,,,,0.0,0.0,4.0,0.0,0.0,1
106,106,,,,0.0,0.0,4.0,0.0,0.0,1
107,107,,,,0.0,0.0,4.0,0.0,0.0,1
108,108,,,,0.0,0.0,4.0,0.0,0.0,1
109,109,,,,0.0,0.0,4.0,0.0,0.0,1
110,110,,,,0.0,0.0,4.0,0.0,0.0,1
111,111,,,,0.0,0.0,4.0,0.0,0.0,1
112,112,,,,0.0,0.0,4.0,0.0,0.0,1
113,113,,,,0.0,0.0,4.0,0.0,0.0,1
114,114,,,,0.0,0.0,4.0,0.0,0.0,1
115,115,,,,0.0,0.0,4.0,0.0,0.0,1
116,116,,,,0.0,0.0,4.0,0.0,0.0,1
117,117,,,,0.0,0.0,4.0,0.0,0.0,1
118,118,,,,0.0,0.0,4.0,0.0,0.0,1
